CustomerType,ArrivalTime,SQ1,SQ2,SQ3,SQ5,SQ5,SQ6,SQ7,SQ8,LES,NbAgents,WaitingTime
30175,29001.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,29077.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,29287.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,29358.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,29350.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,29393.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,29306.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,29669.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,29186.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,29616.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,29573.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,29783.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30066,29749.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,29894.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,29883.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30024.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30025.0,1,0,0,0,0,0,0,0,0.0,0,1.0
30179,30036.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,30182.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,29820.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,29989.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,30037.0,0,0,0,0,1,0,0,0,0.0,0,1.0
30179,30278.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30236.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,30488.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30438.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,30134.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30620.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30747.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30751.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,30814.0,0,0,0,0,0,0,0,0,0.0,0,13.0
30175,30689.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30773.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30678.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30354.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30514.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30628.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,30648.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30835.0,0,0,0,0,0,0,0,0,0.0,0,15.0
30560,30326.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,30621.0,0,0,1,0,0,0,0,0,0.0,0,1.0
30560,30905.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30901.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31105.0,0,0,0,0,0,0,0,0,0.0,0,1.0
